participant,condition,trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward
1,story,65,0,0.4764516860207704,0.43676981715651453,0.5565391259044221,0.4165588350811151,2,1,0.6803399599384647,2,1,2,1,1.200920566624518,1,1
1,story,66,1,0.5158432621570066,0.4595544305295891,0.5953247024505521,0.4365878014520295,2,1,0.7246966978882483,1,1,1,2,0.811865750600191,1,0
1,story,67,0,0.5274474753523636,0.3934686182141378,0.5935552628151299,0.3874663505950091,1,2,0.7981563956745958,2,1,1,2,1.2072525510102423,2,0
1,story,68,1,0.5875620529671679,0.4502656777843529,0.5834674478882786,0.4581458803577682,2,1,0.7252424443049676,2,2,1,2,1.157880430606383,1,1
1,story,69,0,0.5552919556338907,0.4320419327510479,0.5917022528276068,0.4298577499174199,2,1,0.6355131146392523,2,1,1,2,1.3761120977005703,2,0
1,story,70,1,0.5584959594178182,0.42821028156592694,0.5767550692080308,0.4346052579543153,2,1,0.6256411616350306,2,2,2,1,0.8779381332697085,1,0
1,story,71,1,0.5715921769291744,0.4443047795051605,0.5793827708758718,0.4115623327924833,2,1,0.6246054187104164,2,2,2,1,0.6418921097601924,2,0
1,story,72,1,0.5670549334655768,0.4605453564169225,0.5166096288752855,0.4131234249210339,2,1,0.5763814451038343,1,1,2,1,1.417266078650755,1,0
1,story,73,0,0.5980206567778817,0.4690747568981127,0.5542617445529311,0.3981960934299205,1,2,0.6988896124657913,2,1,1,2,1.7460208878337653,2,0
1,story,74,1,0.6014778925220071,0.4703045560899762,0.5333833051346457,0.39659514178660427,1,2,1.145693198902336,2,2,2,1,0.8381712703530866,1,0
1,story,75,1,0.6187020709063424,0.5231920625287984,0.4977044930666192,0.4327025082546838,2,1,0.7429796548995,1,1,2,1,1.011073137553467,1,1
1,story,76,1,0.6757873815638845,0.5310025390276506,0.5145227954471239,0.4940725958065399,1,2,0.9505944296497546,1,1,1,2,0.8256866053461636,1,0
